YEAR,LAKE,Date,Date2,DOY,pH_surface,SRP_ug_L,TDP_ug_L,TDN_ug_L,RunNo,NO2_ug_L,NH4_ug_L,DOC_mg_L,TIC_mg_L,SO4_mg_L,Si_mg_L,NO3_ug_L
2005,WW,11-Jul-05,2005-07-11,192,9.7,263.3,286,977.3,,,77.4,16.26,35.49,,,10.7
2005,WW,26-Jul-05,2005-07-26,207,9.7,288.4,314.8,1010,,,81.6,16.88,36.88,,,19.7
2005,WW,05-Aug-05,2005-08-05,217,9.8,268.5,308,1100.38,,,77,18.77,37.41,,,9.62
2006,WW,01-May-06,2006-05-01,121,8.9,142.95,174.78,1127.47,74803,,69.3,17.92,39.67,,,2.53
2006,WW,15-May-06,2006-05-15,135,9.1,156.71,191.76,1148.02,74811,,42.5,19.29,43.74,,,1.98
2006,WW,29-May-06,2006-05-29,149,9.1,174.87,201.14,1165,74820,,52.6,18.09,43.92,,,
2006,WW,09-Jun-06,2006-06-09,160,9.4,161.16,187.71,1132.86,74828,,44.7,18.96,42.33,,,7.14
2006,WW,26-Jun-06,2006-06-26,177,9.9,158.75,164.35,1106.7,74837,,70.4,16.3,35.69,,,13.3
2006,WW,10-Jul-06,2006-07-10,191,10.3,67.92,107.49,1146.18,74845,,49.4,15.7,29.59,,,3.82
2006,WW,25-Jul-06,2006-07-25,206,10.3,33.69,63.64,1155.08,74852,,44,13.9,29.21,,,4.92
2006,WW,08-Aug-06,2006-08-08,220,10,155.03,187.6,1313,74861,,186,16.04,32.57,,,17
2006,WW,21-Aug-06,2006-08-21,233,10.2,106.59,150.11,1308.6,74869,,49.6,16.3,33.52,,,11.4
2007,WW,01-May-07,2007-05-01,121,8.9,167,195,1080,,,0.2,,,263.71,4.27,104
2007,WW,14-May-07,2007-05-14,134,8.5,181,202,1110,,,0.2,17.23,35.97,282.03,2.86,320
2007,WW,28-May-07,2007-05-28,148,8.8,139,160,1010,,,0.2,16.44,37.22,295.78,2.86,211
2007,WW,11-Jun-07,2007-06-11,162,8.9,140,164,953,,,0.2,,,304.84,3.12,163
2007,WW,25-Jun-07,2007-06-25,176,9.3,110,145,1100,,,0.2,15.54,37.66,318.27,2.86,285
2007,WW,09-Jul-07,2007-07-09,190,9.2,72,98,973,,,0.2,15.47,34.92,317.53,2.01,194
2007,WW,23-Jul-07,2007-07-23,204,9.4,55,73,962,,,0.2,,,314.49,2.71,246
2007,WW,07-Aug-07,2007-08-07,219,9,115,147,1380,,,0.2,14.43,32.43,317.38,3.08,581
2007,WW,20-Aug-07,2007-08-20,232,9,136,156,1550,,,0.2,15.98,33.54,330.74,2.08,806
2008,WW,05-May-08,2008-05-05,126,8.9,48,81.2,1650,,,11,15.45,39.84,,0,466
2008,WW,20-May-08,2008-05-20,141,8.7,16,52.8,1490,,,6,15.14,41.52,,0,285
2008,WW,02-Jun-08,2008-06-02,154,8.9,22,49.5,1620,,,9,13.6,42.12,,0,273
2008,WW,16-Jun-08,2008-06-16,168,8.9,7,34.1,1210,,,10,15.8,43.85,,0,112
2008,WW,30-Jun-08,2008-06-30,182,9.2,10,32.9,1460,,,14,13.71,38.11,,0,234
2008,WW,14-Jul-08,2008-07-14,196,8.9,69,95.6,1960,,,14,13.98,37.46,,0,432
2008,WW,28-Jul-08,2008-07-28,210,9.3,85,120,1460,,,16,13.81,34.35,,0,51
2008,WW,11-Aug-08,2008-08-11,224,8.7,170,222,1650,,,10,15.71,35.66,,0,271
2008,WW,25-Aug-08,2008-08-25,238,9.1,180,242,1630,,,0.2,15.13,35.58,,0,245
2009,WW,04-May-09,2009-05-04,124,7.8,302,481,2540,,,0.2,19.5,36.14,,0,1480
2009,WW,19-May-09,2009-05-19,139,7.1,308,451,1380,,,4,21.13,41.54,,0,454
2009,WW,01-Jun-09,2009-06-01,152,8.4,226,361,1290,,,43,21.52,42.39,,0,241
2009,WW,15-Jun-09,2009-06-15,166,9.2,157,272,1070,,,0.2,20.07,44.19,,0,266
2009,WW,29-Jun-09,2009-06-29,180,9.1,228,421,1020,,,0.2,18.7,46.93,,0,167
2009,WW,13-Jul-09,2009-07-13,194,10.1,261,418,912,,,0.2,25.03,43.14,,0,67
2009,WW,27-Jul-09,2009-07-27,208,9.8,325,442,924,,,0.2,23.06,45.14,,0,38
2009,WW,10-Aug-09,2009-08-10,222,10.3,388,546,959,,,0.2,19.12,51.1,,0,5
2009,WW,24-Aug-09,2009-08-24,236,9.7,353,492,1180,,,0.2,15.15,46.44,,0,51
2010,WW,03-May-10,2010-05-03,123,8.6,410,476,1950,,,7,35.28,35.28,,0,947
2010,WW,17-May-10,2010-05-17,137,8.7,321,363,1250,,,4,34.71,39.54,,0,284
2010,WW,31-May-10,2010-05-31,151,8.4,281,351,1480,,,5,35.17,42.78,,0,489
2010,WW,14-Jun-10,2010-06-14,165,9.3,199,259,1510,,,3,36.82,43.2,,0,473
2010,WW,28-Jun-10,2010-06-28,179,8.6,341,386,1340,,,10,39.69,37.54,,0,68
2010,WW,12-Jul-10,2010-07-12,193,9.4,515,652,1470,,,12,38.71,45.5,,0,95
2010,WW,26-Jul-10,2010-07-26,207,9.6,671,899,1840,,,41,47.79,53.31,,0,104
2010,WW,09-Aug-10,2010-08-09,221,9.9,704,975,1790,,,51,42.57,54.68,,0,11
2010,WW,23-Aug-10,2010-08-23,235,8.8,614,1020,1650,,,29,53.37,53.53,,0,81
2011,WW,02-May-11,2011-05-02,122,8.3,286,301,1366,,,2,12.74,29.99,,0,829
2011,WW,16-May-11,2011-05-16,136,8.4,313,350,1230,,,0.2,12.83,41.02,,0,474
2011,WW,30-May-11,2011-05-30,150,9.1,472,469,1278,,,0.2,16.8,47.89,,0,450
2011,WW,13-Jun-11,2011-06-13,164,8.7,257,256,1822,,,0.2,19.85,57.58,,0,1090
2011,WW,27-Jun-11,2011-06-27,178,8.1,651,596,2140,,,2,14.16,48.38,,0,2110
2011,WW,11-Jul-11,2011-07-11,192,9.4,595,638,1940,,,2,26.69,67.13,,0,677
2011,WW,25-Jul-11,2011-07-25,206,9,845,677,1744,,,0.2,21.28,74.77,,0,223
2011,WW,08-Aug-11,2011-08-08,220,9.7,788,857,1810,,,0.2,21.58,77.35,,0,393
2011,WW,22-Aug-11,2011-08-22,234,8.4,592,617,1488,,,0.2,13.74,46.25,,0,917
2011,WW,07-Sep-11,2011-09-07,250,8.7,553,607,1284,,,0.2,10.22,45.64,,0,177
2011,WW,20-Sep-11,2011-09-20,263,9.4,463,537,1174,,,71,13.41,45.14,,0,36
2012,WW,01-May-12,2012-05-01,122,9.1,37,54,1570,,,3,18.02,55.98,,0,467
2012,WW,14-May-12,2012-05-14,135,9,140,150,1600,,,0.2,15.74,65.81,,0,426
2012,WW,28-May-12,2012-05-28,149,8.7,216,222,3750,,,0.2,4.76,67.4,,0,2428
2012,WW,11-Jun-12,2012-06-11,163,8.5,254,259,3000,,,0.2,7.15,62.39,,0,1730
2012,WW,25-Jun-12,2012-06-25,177,8.39,287,285,1700,,,0.2,9.84,63.36,,0,540
2012,WW,09-Jul-12,2012-07-09,191,8.97,574,582,2260,,,0.2,13.11,57.59,,0,1050
2012,WW,23-Jul-12,2012-07-23,205,9.52,477,462,1690,,,0.2,23.51,60.96,,0,523
2012,WW,07-Aug-12,2012-08-07,220,8.78,524,532,1290,,,29,22.37,62.91,,0,14
2012,WW,20-Aug-12,2012-08-20,233,9.48,2020,2150,2620,,,0.2,12.4,57.13,,0,300
2013,WW,13-May-13,2013-05-13,133,9.4,306,318,1310,,,0.3,,,,0,287
2013,WW,27-May-13,2013-05-27,147,8.32,465,468,1470,,,0.3,,,,0,260
2013,WW,10-Jun-13,2013-06-10,161,8.42,577,588,1650,,,0.3,,,,0,428
2013,WW,24-Jun-13,2013-06-24,175,9.07,432,450,1420,,,0.3,,,,0,320
2013,WW,08-Jul-13,2013-07-08,189,9.35,526,539,1420,,,0.3,,,,0,356
2013,WW,22-Jul-13,2013-07-22,203,8.8,539,551,1480,,,18,,,,0,258
2013,WW,06-Aug-13,2013-08-06,218,9.2,487,493,1180,,,32,,,,0,0.1
2013,WW,19-Aug-13,2013-08-19,231,9,564,573,1270,,,35,,,,0,0.1
2014,WW,05-May-14,2014-05-05,125,8.5,265,278,1240,,,0.3,,,,0,126
2014,WW,20-May-14,2014-05-20,140,8,243,253,1190,,,0.3,,,,0,73
2014,WW,02-Jun-14,2014-06-02,153,8.4,277,303,1470,,,0.3,,,,0,286
2014,WW,16-Jun-14,2014-06-16,167,8.2,327,338,1780,,,0.3,,,,0,866
2014,WW,30-Jun-14,2014-06-30,181,8.7,440,466,2330,,,0.3,,,,0,1321
2014,WW,14-Jul-14,2014-07-14,195,8,831,842,2420,,,9,,,,0,660
2014,WW,28-Jul-14,2014-07-28,209,8.5,918,928,2230,,,73,,,,0,171
2014,WW,11-Aug-14,2014-08-11,223,8.7,865,872,1820,,,33,,,,0,13
