"lakeName","Year","Month","sampleID","siteID","latitude","longitude","Date","TOD","secchi","sampleDepth","wind","DIC","DOC","Altitude","windMS","conductivity","oxygenConcentration","oxygenPercent","pH","salinity","specificConductivity","TDS","temperature","Day","pco2atm","DICumol","chlvalue","CO2fluxmmolm2d","pCO2uatm"
"Katepwa",2013,8,86,85,50.709939,-103.646447,2013-08-30,"7:53:00 AM",1.15,22.4,20,51.173,11.76,474,5.55555555555556,1389,10.01,133.1,9.01,0.74,1465,NA,22.5,30,395.01,4264.41666666667,17.17,-13.6978642634849,186.838337364462
"Kenosee",2013,8,10,9,49.822812,-102.297505,2013-08-01,"10:18:00 AM",0.98,7.4,14,90.806,29.613,743,3.88888888888889,2274,7.26,94,8.79,1.32,2555,NA,19.2,1,395.01,7567.16666666667,25.555,12.5031886392466,540.688998891445
"Kindersley",2013,8,29,28,51.421035,-109.101516,2013-08-09,"8:00:00 AM",0.7325,1.6,0,32.905,19.197,686,0,723,4.69,56.8,9.66,0.42,842,NA,17.6,9,395.01,2742.08333333333,23.845,-106.703455527805,23.1287228503507
"Kipabiskau",2013,8,110,108,52.568376,-104.183634,2013-08-27,"1:10:00 PM",1.95,6.8,10,56.685,21.15,519,2.77777777777778,999.9,7.9,123,9.14,0.52,NA,0.684,22.34,27,395.01,4723.75,NA,-32.2387554751609,153.491028150646
"Lac Pelletier",2013,8,103,101,49.98639,-107.935497,2013-08-18,"9:12:00 AM",0,8.8,15,75.42,10.663,839,4.16666666666667,779,11.4,180,9.65,0.41,NA,0.541,21.68,18,395.01,6285,NA,-56.9788521243042,53.8398106875891
"Last Mountain",2013,8,87,86,51.101797,-105.263193,2013-08-30,"10:03:00 AM",1.42,18.5,26,61.771,12.538,487,7.22222222222222,1901,8.53,110.7,8.88,1.05,2046,NA,21.3,30,395.01,5147.58333333333,NA,-3.67288938159022,301.823081560163
"Lenore",2013,8,109,107,52.508747,-104.974165,2013-08-26,"3:04:00 PM",1.1,10.1,15,84.347,22.252,525,4.16666666666667,3950,5.8,90,9.3,2.18,NA,2.669,23,26,395.01,7028.91666666667,NA,-31.1389491150835,130.86494041115
"Lenore SB",2013,8,108,106,52.446064,-105.004627,2013-08-26,"11:45:00 AM",2.5,9.1,15,80.995,22.528,525,4.16666666666667,3867,4.5,69,9.4,2.2,NA,2.692,21.53,26,395.01,6749.58333333333,NA,-36.5350327885717,95.977731836922
"Lewis Creek South",2013,8,47,46,51.438574,-105.528084,2013-08-15,"7:50:00 AM",0.44,1.9,10,43.359,24.569,518,2.77777777777778,2419,3.27,42.6,8.66,1.36,2630,NA,21.1,15,395.01,3613.25,68.245,-1.37626919376864,352.576154572792
"Little Manitou",2013,8,67,66,52.619465,-109.618248,2013-08-20,"12:25:00 PM",0.7545,3.8,11,249.643,48.526,607,3.05555555555556,6160,9.86,130.8,9.19,3.62,6598,NA,21.5,20,395.01,20803.5833333333,32.015,16.1912643896202,489.109626678837
"Little Manitwo",2013,8,93,91,51.736659,-105.523586,2013-08-01,"10:48:00 AM",0.5,6.7,5,91.201,64.441,503,1.38888888888889,58870,10.1,149,9.09,44.44,NA,42.54,19.75,1,395.01,7600.08333333333,NA,-23.7263519946621,157.222382291067
"Lonetree",2013,8,36,35,49.081147,-108.258855,2013-08-12,"10:40:00 AM",0.5025,4,20,47.42,15.261,858,5.55555555555556,358.8,7.47,98.4,9.06,0.19,394.8,NA,20.3,12,395.01,3951.66666666667,42.03,-13.5431607294999,165.681294120424
"Luck",2013,8,27,26,51.069232,-107.100618,2013-08-08,"12:00:00 PM",0.66,0.8,1,47.054,27.277,585,0.277777777777778,7101,7.98,100.7,9.62,4.55,8147,NA,18.2,8,395.01,3921.16666666667,1.005,-96.109061716,26.600463253369
"Macklin",2013,8,72,71,52.31997,-109.949416,2013-08-21,"8:14:00 AM",0.696,2.8,10,127.462,31.332,650,2.77777777777778,1453,4.63,59.7,8.39,0.8,1587,NA,20.6,21,395.01,10621.8333333333,7.515,105.820351335569,2027.8916878912
"Madge",2013,8,51,50,51.654347,-101.634549,2013-08-15,"3:22:00 PM",2.815,12.3,10,43.166,13.118,598,2.77777777777778,714,8.85,114.3,8.55,0.38,777,NA,20.8,15,395.01,3597.16666666667,4.395,9.39146555683292,493.117262437197
