LAKE,Date,Depth_m,Oxygen_ppm,Temperature_deg_C
K,13-06-1995,1,6.1,18
K,30-06-1995,1,9.6,18
K,15-07-1995,1,7.4,23.5
K,24-07-1995,1,4.1,21
K,11-08-1995,1,4.8,17
K,28-08-1995,1,5.4,17.5
K,17-05-1996,1,14.6,6
K,31-05-1996,1,,11
K,12-06-1996,1,11.2,17.5
K,28-06-1996,1,8,15
K,26-07-1996,1,4.6,21
K,11-08-1996,1,6.3,19
K,23-08-1996,1,5.2,19
K,06-05-1997,1,,4
K,22-05-1997,1,9,8.5
K,02-06-1997,1,11.2,17
K,18-06-1997,1,8,18
K,06-07-1997,1,6.8,18
K,21-07-1997,1,13.2,24
K,07-08-1997,1,13.1,26
K,18-08-1997,1,6.1,18
K,08-05-1998,1,13,8.5
K,21-05-1998,1,13.5,15
K,04-06-1998,1,12.8,11
K,17-06-1998,1,7.6,14.5
K,02-07-1998,1,10,18
K,22-07-1998,1,11.5,19
K,04-08-1998,1,7.2,21.5
K,02-09-1998,1,5.3,19.5
K,11-05-1999,1,8.8,7
K,24-05-1999,1,15,12
K,09-06-1999,1,14.8,15
K,22-06-1999,1,8.9,19
K,12-07-1999,1,13.4,20.5
K,25-07-1999,1,10.4,20
K,12-08-1999,1,12.7,20.5
K,29-05-2000,1,12.8,13
K,14-06-2000,1,9.2,15
K,28-06-2000,1,8.2,16.5
K,10-07-2000,1,10.4,21
K,26-07-2000,1,14.1,23
K,11-08-2000,1,8.4,21.5
K,29-08-2000,1,8.8,18.5
K,08-05-2001,1,13.6,6.5
K,07-06-2001,1,12,13.5
K,18-06-2001,1,9.7,16.5
K,28-06-2001,1,9.6,17.5
K,17-07-2001,1,12.9,20
K,31-07-2001,1,10.2,20.8
K,13-08-2001,1,13.6,21.8
K,26-08-2001,1,10.4,20.5
K,09-05-2002,1,13.5,5
K,24-05-2002,1,7.9,8
K,07-06-2002,1,15,13
K,25-06-2002,1,15,20
K,10-07-2002,1,9.1,20
K,24-07-2002,1,8.9,23
K,08-08-2002,1,9.3,19.5
K,23-08-2002,1,8.83,19.3
K,12-05-2003,1,17.2,9.6
K,23-05-2003,1,18.8,12.3
K,04-07-2003,1,10.16,19.8
K,05-05-2006,1,13.78,7.4
K,17-05-2006,1,19.48,13.7
K,07-06-2006,1,8.87,16.9
L,12-08-1997,1,6.1,20
L,02-08-2000,1,9.4,21.5
L,25-05-2004,1,12.7100000381,8.1999998093
L,07-06-2004,1,10.6400003433,12.5
L,08-06-2007,1,9.4,13.1
L,22-06-2007,1,8.67,16.9
K,15-07-2003,1,10.6,20.1
K,01-08-2003,1,10.84,22.6
K,15-08-2003,1,13.37,23.9
K,25-08-2003,1,8.62,21.4
K,17-05-2004,1,17.25,8.1000003815
K,01-06-2004,1,11.6400003433,8.8999996185
K,11-06-2004,1,11.2299995422,11.1999998093
K,25-06-2004,1,12.4099998474,13.5
K,09-07-2004,1,11.3500003815,17.7000007629
K,20-07-2004,1,8.8400001526,22.7999992371
K,04-08-2004,1,9.3100004196,20.6000003815
K,25-08-2004,1,8.3900003433,16.3999996185
K,12-05-2005,1,11.57,7
K,26-05-2005,1,8.88,9.5
K,08-06-2005,1,9.06,12.1
K,22-06-2005,1,11.03,20.1
K,06-07-2005,1,7.84,19.6
K,20-07-2005,1,8.95,20.3
K,03-08-2005,1,12.09,21.7
K,17-08-2005,1,7.92,18.4
K,14-06-2006,1,9.68,15.8
K,28-06-2006,1,12.16,21
K,12-07-2006,1,10.59,22.1
K,26-07-2006,1,10.84,23.6
K,09-08-2006,1,11.03,20.9
K,23-08-2006,1,9.49,20.7
K,07-09-2006,1,18.13,20.4
K,21-09-2006,1,6.83,15.6
K,05-10-2006,1,5.56,13.9
K,19-10-2006,1,8.27,8.9
K,02-11-2006,1,7.48,5.1
K,17-11-2006,1,15.97,2.4
K,24-01-2007,1,12.08,0.2
K,17-02-2007,1,8.64,0.4
K,04-05-2007,1,10.93,6.3
K,18-05-2007,1,13.75,11.5
K,01-06-2007,1,10.6,12.2
K,15-06-2007,1,12.35,17.2
K,29-06-2007,1,6.79,16.6
K,13-07-2007,1,10.3,21.4
K,27-07-2007,1,10.76,24.4
K,10-08-2007,1,7.52,22
K,23-08-2007,1,7.53,18
K,24-09-2007,1,6.02,14.6
K,10-10-2007,1,6.86,12.3
K,22-10-2007,1,7.63,10.7
K,07-11-2007,1,10.48,7.2
L,26-06-1994,1,10,21
L,29-07-1994,1,6.8,20
L,25-05-1995,1,5.4,11
L,05-06-1995,1,5,16.5
L,19-06-1995,1,4.8,20
L,04-07-1995,1,4.9,17
L,18-07-1995,1,4.4,22
L,31-07-1995,1,4.8,18.5
L,22-08-1995,1,5,19
L,08-05-1996,1,0,2
L,23-05-1996,1,13.1,7
L,03-06-1996,1,12.1,11.5
L,25-06-1996,1,5.4,15
L,09-07-1996,1,7.4,18.5
L,22-07-1996,1,5.2,20
L,08-08-1996,1,4.8,19.5
L,20-08-1996,1,4.8,19.5
L,16-05-1997,1,10.4,7
L,04-06-1997,1,12.6,21.5
L,16-06-1997,1,8.8,18
L,17-07-1997,1,8.4,22
L,02-08-1997,1,7.2,21
L,27-08-1997,1,12,13
L,12-05-1998,1,4.9,7.8
L,27-05-1998,1,8,15.5
L,18-06-1998,1,6.3,14
L,26-06-1998,1,13.6,15.5
L,10-07-1998,1,12,19
L,27-07-1998,1,12.1,20.5
L,12-08-1998,1,8.4,24
L,30-08-1998,1,7,22
L,06-05-1999,1,9.8,8
L,20-05-1999,1,14.2,10
L,07-06-1999,1,15,14.5
L,21-06-1999,1,9.9,18.5
L,08-07-1999,1,8.8,17
L,21-07-1999,1,11.4,21
L,11-08-1999,1,10.6,20
L,27-08-1999,1,11.5,20.5
L,09-05-2000,1,10,12
L,25-05-2000,1,9.1,14
L,07-06-2000,1,9.7,15.5
L,23-06-2000,1,10,15
L,05-07-2000,1,9,19
L,20-07-2000,1,8.6,18.5
L,21-08-2000,1,8,20
L,14-05-2001,1,15,12.5
L,30-05-2001,1,12.1,12.5
L,12-06-2001,1,11.2,15.8
L,21-06-2001,1,13.8,17.3
L,10-07-2001,1,12.3,21
L,26-07-2001,1,9.8,20
L,07-08-2001,1,10.7,22
L,20-08-2001,1,9,21.1
L,17-05-2002,1,7.8,6
L,31-05-2002,1,7.2,11.5
L,12-06-2002,1,12,10.5
L,28-06-2002,1,10.6,20
L,12-07-2002,1,10.2,20
L,25-07-2002,1,9.4,23
L,14-08-2002,1,9.8,18.5
L,26-08-2002,1,8.1,19.3
L,20-05-2003,1,11.7,9.3
L,30-05-2003,1,9.38,13
L,17-06-2003,1,9.89,19.6
L,02-07-2003,1,9.89,19.6
L,11-07-2003,1,9.2,18.7
L,28-07-2003,1,12.25,21.9
L,08-08-2003,1,7.93,21.9
L,22-08-2003,1,8.5,21.8
L,10-05-2004,1,11.5100002289,6.8000001907
L,21-06-2004,1,10.0100002289,13.3999996185
L,05-07-2004,1,9.2100000381,16.2999992371
L,19-07-2004,1,8.6800003052,22.7999992371
L,30-07-2004,1,8.3699998856,18.8999996185
L,19-08-2004,1,8.279999733,18.2000007629
L,16-05-2005,1,10.79,6.8
L,30-05-2005,1,10.15,10.6
L,10-06-2005,1,9.31,13.1
L,24-06-2005,1,8.02,17.1
L,08-07-2005,1,8.88,19.5
L,21-07-2005,1,8.6,20.2
L,08-08-2005,1,12.08,20.8
L,19-08-2005,1,8.61,18.4
L,12-05-2006,1,11.88,8
L,26-05-2006,1,10.37,12.5
L,12-06-2006,1,8.85,14.2
L,23-06-2006,1,9.2,17.3
L,07-07-2006,1,,18.8
L,21-07-2006,1,10.55,21.8
L,04-08-2006,1,8.33,21.2
L,18-08-2006,1,6.81,20.2
L,31-08-2006,1,,19.6
L,11-05-2007,1,12.11,8.7
L,25-05-2007,1,9.7,10.4
L,10-07-2007,1,7.52,19.4
L,20-07-2007,1,7.62,21.4
L,03-08-2007,1,10.49,22.3
L,17-08-2007,1,7.34,20.1
L,31-08-2007,1,7.95,17.9
M,22-07-2005,1,12.48,21.8
M,31-05-2006,1,8.46,14.5
P,31-08-2000,1,7.7,19.5
P,13-05-2004,1,15.9300003052,7.8000001907
P,28-05-2004,1,11.470000267,10
P,09-06-2004,1,10.4300003052,13.6999998093
P,24-06-2004,1,9.8699998856,14.6000003815
P,08-07-2004,1,7.3800001144,18.6000003815
P,22-07-2004,1,8.4399995804,21.6000003815
P,06-08-2004,1,8.9200000763,20.7999992371
P,20-08-2004,1,9.0500001907,18.5
P,01-09-2004,1,8.3299999237,16.6000003815
P,17-09-2004,1,9.029999733,15.5
P,09-05-2005,1,10.66,8.3
P,25-05-2005,1,9.76,11.7
P,08-06-2005,1,8.73,13.5
P,21-06-2005,1,6.96,19.1
P,07-07-2005,1,8.59,21.4
P,19-07-2005,1,8.39,21
P,02-08-2005,1,10.72,22.4
P,16-08-2005,1,6.88,19
P,30-08-2005,1,13.45,18.7
P,13-09-2005,1,7.79,16.8
P,26-09-2005,1,6.7,14.6
P,09-05-2006,1,10.56,10.3
P,24-05-2006,1,8.52,16.6
P,07-06-2006,1,7.25,18.1
P,21-06-2006,1,7.28,17.2
P,05-07-2006,1,9.75,22
P,18-07-2006,1,9.95,22.5
P,26-07-2006,1,12.6,23.6
P,02-08-2006,1,5.93,21.4
P,16-08-2006,1,7.53,21.1
WC,02-05-2005,1,9.69,7.1
WC,16-05-2005,1,9.15,10.3
WC,27-05-2005,1,7.71,12.6
WW,15-08-2000,1,6.2,20
WW,30-08-2000,1,6,17
WW,02-05-2001,1,7.8,12
WW,11-05-2001,1,10.8,10.8
P,30-08-2006,1,6.22,20.1
P,14-09-2006,1,8.21,18.5
P,28-09-2006,1,8.14,14
P,05-10-2006,1,8.93,13.6
P,13-10-2006,1,10.73,9.6
P,26-10-2006,1,11.47,5.4
P,02-11-2006,1,16.06,3.5
P,10-11-2006,1,10.95,1.4
P,08-05-2007,1,10.3,11.2
P,23-05-2007,1,7.75,12.4
P,06-06-2007,1,8.85,16.4
P,19-06-2007,1,6.83,17.4
P,06-07-2007,1,10.97,22.7
P,17-07-2007,1,11.81,23
P,31-07-2007,1,10.48,25
P,14-08-2007,1,4.37,20.9
P,21-08-2007,1,5.26,19.6
P,14-09-2007,1,9.05,15.4
P,24-09-2007,1,7.62,14.2
P,10-10-2007,1,7.73,11.1
P,22-10-2007,1,9.11,9.8
P,07-11-2007,1,11.17,5.5
R,07-07-2005,1,8.24,20.7
WC,04-05-2004,1,14.0200004578,10.6999998093
WC,18-05-2004,1,7.7100000381,12.3999996185
WC,31-05-2004,1,8.2899999619,12
WC,14-06-2004,1,9.1099996567,14
WC,28-06-2004,1,9.0900001526,19.2000007629
WC,12-07-2004,1,8.4600000381,19.6000003815
WC,27-07-2004,1,10.14,21.5
WC,09-08-2004,1,7.0399999619,18.7000007629
WC,13-06-2005,1,8.44,18.7
WC,27-06-2005,1,6.8,19.5
WC,11-07-2005,1,8.23,23.2
WC,26-07-2005,1,8.98,20.6
WC,05-08-2005,1,8.79,21.4
WC,01-05-2006,1,11.1,13.1
WC,15-05-2006,1,10.53,13.2
WC,29-05-2006,1,8.77,15
WC,09-06-2006,1,7.24,17.2
WC,26-06-2006,1,11.26,21
WC,10-07-2006,1,10.36,23
WC,25-07-2006,1,11.97,24
WC,08-08-2006,1,6.64,20.9
WC,21-08-2006,1,8.09,20.1
WC,01-05-2007,1,14.45,11.7
WC,14-05-2007,1,5.81,14.5
WC,28-05-2007,1,10.14,15.3
WC,11-06-2007,1,10.14,18.3
WC,25-06-2007,1,10.48,20.6
WC,09-07-2007,1,8.46,22.4
WC,23-07-2007,1,10.2,25
WC,07-08-2007,1,4.16,21.8
WC,20-08-2007,1,6.75,18.7
WW,04-05-1996,1,0,9
WW,21-05-1996,1,3.9,13.5
WW,04-06-1996,1,10.4,15.5
WW,14-06-1996,1,4.8,21
WW,28-06-1996,1,4.6,21
WW,08-07-1996,1,14,20
WW,31-07-1996,1,5.4,19
WW,16-08-1996,1,5.2,22
WW,12-05-1997,1,9,12.5
WW,28-05-1997,1,7.4,18
WW,11-06-1997,1,8.4,22.5
WW,23-06-1997,1,8,21
WW,09-07-1997,1,11.5,21
WW,25-07-1997,1,5.5,21
