sampleID,depth,variableID,dataValue
Shannon,1,oxygenPercent,126
Shannon,1,oxygenConcentration,8.4
Shannon,1,pH,9.49
Fishing,1,temperature,22.4
Fishing,1,conductivitySLS,3.079
Fishing,1,TDS,2.109
Fishing,1,salinity,1.7
Fishing,1,oxygenPercent,157
Fishing,1,oxygenConcentration,10.1
Fishing,1,pH,9.39
Humbolt,1,temperature,21.12
Humbolt,1,conductivitySLS,1.529
Humbolt,1,TDS,1.073
Humbolt,1,salinity,0.84
Humbolt,1,oxygenPercent,128
Humbolt,1,oxygenConcentration,8.4
Humbolt,1,pH,9.12
Deadmoose,1,temperature,19.82
Deadmoose,1,conductivitySLS,15.94
Deadmoose,1,TDS,11.49
Deadmoose,1,salinity,10.47
Deadmoose,1,oxygenPercent,91
Deadmoose,1,oxygenConcentration,6.1
Deadmoose,1,pH,9.42
Waldsea,1,temperature,19.96
Waldsea,1,conductivitySLS,14.28
Waldsea,1,TDS,10.29
Waldsea,1,salinity,9.28
Waldsea,1,oxygenPercent,108
Waldsea,1,oxygenConcentration,7.2
Waldsea,1,pH,9.07
Lenore SB,1,temperature,21.53
Lenore SB,1,conductivitySLS,3.867
Lenore SB,1,TDS,2.692
Lenore SB,1,salinity,2.2
Lenore SB,1,oxygenPercent,69
Lenore SB,1,oxygenConcentration,4.5
Lenore SB,1,pH,9.4
Lenore,1,temperature,23
Lenore,1,conductivitySLS,3.95
Lenore,1,TDS,2.669
Lenore,1,salinity,2.18
Lenore,1,oxygenPercent,90
Lenore,1,oxygenConcentration,5.8
Lenore,1,pH,5.6
Kipabiskau,1,temperature,22.34
Kipabiskau,1,conductivitySLS,0.9999
Kipabiskau,1,TDS,0.684
Kipabiskau,1,salinity,0.52
Kipabiskau,1,oxygenPercent,123
Kipabiskau,1,oxygenConcentration,7.9
Kipabiskau,1,pH,9.14
Clair,1,temperature,22.08
Clair,1,conductivitySLS,1.536
Clair,1,TDS,1.058
Clair,1,salinity,0.82
Clair,1,oxygenPercent,149
Clair,1,oxygenConcentration,9.7
Clair,1,pH,9.18
