Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1891:3:16:0 -0.00223718 0.193051 -0.16634 -0.015593
1891:4:16:0 0.100556 0.457992 -0.291513 0.0173163
1891:5:16:0 0.159261 0.596348 -0.246601 -0.0156123
1891:6:16:0 0.129057 0.536869 -0.337652 0.0294489
1891:7:16:0 0.0124749 0.51552 -0.384445 -0.0530623
1891:8:16:0 0.0123154 0.177253 -0.488337 0.167858
1891:9:16:0 -0.0237997 -0.166512 -0.364266 0.241589
1891:10:16:0 0.0300619 -0.219929 -0.152 0.216026
1891:11:16:0 0.0867749 -0.0935485 -0.106645 0.186871
1891:12:16:0 0.0205304 -0.0146057 -0.0983131 0.0769898
1892:1:16:0 -0.298619 -0.0793948 0.0323719 -0.275108
1892:2:16:0 -0.222783 -0.238901 0.0839555 -0.14531
1892:3:16:0 -0.412455 -0.499938 0.0783701 -0.201671
1892:4:16:0 -0.56431 -0.591745 0.0705876 -0.303731
1892:5:16:0 -0.34364 -0.679436 0.117283 -0.0625633
1892:6:16:0 -0.348212 -0.698715 0.075001 -0.0363549
1892:7:16:0 -0.451535 -0.710332 -0.140181 -0.0262788
1892:8:16:0 -0.539541 -0.921616 -0.0202059 -0.0686304
1892:9:16:0 -0.809054 -1.10432 0.120561 -0.317172
1892:10:16:0 -1.14787 -1.37339 -0.0569118 -0.432717
1892:11:16:0 -1.13183 -1.20735 0.0563307 -0.556318
1892:12:16:0 -0.691647 -1.16559 -0.113109 -0.0523002
1893:1:16:0 -0.483918 -1.23442 -0.0381458 0.152367
1893:2:16:0 -0.513815 -1.02822 -0.0673861 0.0339874
1893:3:16:0 -0.677215 -0.83501 0.190143 -0.354781
1893:4:16:0 -0.9698 -0.824883 0.244156 -0.679437
1893:5:16:0 -0.953816 -0.754407 0.245026 -0.699126
1893:6:16:0 -0.979498 -0.766378 0.368714 -0.780666
1893:7:16:0 -1.25973 -0.801012 0.596161 -1.1573
1893:8:16:0 -1.251 -0.816836 0.427766 -1.05647
1893:9:16:0 -1.20445 -0.658724 0.152468 -0.951324
1893:10:16:0 -1.17911 -0.537229 0.0246354 -0.922813
1893:11:16:0 -1.039 -0.234095 -0.0430143 -0.900444
1893:12:16:0 -0.859433 -0.467381 -0.0908792 -0.580303
1894:1:16:0 -0.891931 -0.292625 -0.0553913 -0.717923
1894:2:16:0 -1.03648 -0.434768 0.0471057 -0.842644
1894:3:16:0 -0.863144 -0.448694 -0.0857243 -0.595935
1894:4:16:0 -0.779413 -0.466639 0.0254644 -0.558826
1894:5:16:0 -0.738319 -0.502777 0.0465175 -0.510189
1894:6:16:0 -0.696248 -0.399528 -0.108027 -0.442471
1894:7:16:0 -0.63044 -0.173222 0.0021096 -0.544884
1894:8:16:0 -0.575223 -0.330171 -0.149302 -0.335486
1894:9:16:0 -0.823251 -0.426028 0.0188966 -0.619685
1894:10:16:0 -0.625606 -0.392376 -0.102337 -0.37825
1894:11:16:0 -0.66039 -0.562701 -0.155209 -0.301435
1894:12:16:0 -0.435308 -0.330027 -0.210447 -0.16507
1895:1:16:0 -0.546142 -0.369835 -0.13524 -0.293605
1895:2:16:0 -0.338394 -0.391538 -0.143272 -0.070989
1895:3:16:0 -0.27927 -0.60705 -0.168647 0.108579
1895:4:16:0 -0.260232 -0.380131 -0.196649 0.0281579
1895:5:16:0 -0.227892 -0.265262 -0.178045 -0.00623871
1895:6:16:0 -0.223878 -0.284701 0.0977651 -0.13041
1895:7:16:0 -0.141727 -0.120625 -0.0129413 -0.0749433
1895:8:16:0 0.32181 0.251673 -0.0973768 0.244662
1895:9:16:0 0.222242 0.324853 -0.0915006 0.105566
1895:10:16:0 0.0241658 0.537182 -0.0693737 -0.209739
